PMID,AuthorN,AuthorForename,AuthorLastname,AuthorInitials,AuthorAffiliation
11966460,1,Silvio,Roggo,S,"Therapeutic Area Nervous System, Pharma Research, Novartis Pharma AG, WSJ-507.605A, Lichtstrasse 35, CH-4056 Basel, Switzerland. silvio.roggo@pharma.novartis.com"
12054507,1,Chinatsu,Hattori,C,"Department of Life Sciences, Graduate School of Arts and Sciences, University of Tokyo, Meguro-ku, Tokyo 153-8902, Japan."
12054507,2,Masashi,Asai,M,
12054507,3,Yoko,Oma,Y,
12054507,4,Yoshihiro,Kino,Y,
12054507,5,Noboru,Sasagawa,N,
12054507,6,Takaomi C,Saido,TC,
12054507,7,Kei,Maruyama,K,
12054507,8,Shoichi,Ishiura,S,
12054559,1,Robert,Ehehalt,R,"Max Planck Institute of Molecular Cell Biology and Genetics, Pfotenhauerstrasse 108, D-01307 Dresden, Germany."
12054559,2,Beate,Michel,B,
12054559,3,Davide,De Pietri Tonelli,D,
12054559,4,Daniele,Zacchetti,D,
12054559,5,Kai,Simons,K,
12054559,6,Patrick,Keller,P,
12391600,1,Martin,Citron,M,"Department of Neuroscience, Amgen Inc, Thousand Oaks, California 91320, USA. mcitron@amgen.com"
12423367,1,Yong-Tae,Kim,YT,"Functional Proteomics Laboratory and Crystallography Program, Oklahoma Medical Research Foundation, Oklahoma City, OK 73104, USA."
12423367,2,Deborah,Downs,D,
12423367,3,Shili,Wu,S,
12423367,4,Azar,Dashti,A,
12423367,5,Yujun,Pan,Y,
12423367,6,Peng,Zhai,P,
12423367,7,Xinjuan,Wang,X,
12423367,8,Xuejun C,Zhang,XC,
12423367,9,Xinli,Lin,X,
12453676,1,Robert,Vassar,R,"Northwestern University Medical School, Department of Cell and Molecular Biology, 303 East Chicago Avenue, Chicago, IL 60611, USA. r-vassar@northwestern.edu"
12473667,1,Shinobu,Kitazume,S,"Glyco-chain Functions Laboratory, Supra-biomolecular System Group, Frontier Research System , Brain Science Institute, Institute of Physical and Chemical Research, RIKEN, Saitama 51-0198, Japan."
12473667,2,Yuriko,Tachida,Y,
12473667,3,Ritsuko,Oka,R,
12473667,4,Norihiro,Kotani,N,
12473667,5,Kazuko,Ogawa,K,
12473667,6,Minoru,Suzuki,M,
12473667,7,Naoshi,Dohmae,N,
12473667,8,Koji,Takio,K,
12473667,9,Takaomi C,Saido,TC,
12473667,10,Yasuhiro,Hashimoto,Y,
12509807,1,Maike,Hartlage-Rübsamen,M,"Department of Neurochemistry, Paul Flechsig Institute for Brain Research, University of Leipzig, Leipzig, Germany."
12509807,2,Ulrike,Zeitschel,U,
12509807,3,Jenny,Apelt,J,
12509807,4,Ulrich,Gärtner,U,
12509807,5,Heike,Franke,H,
12509807,6,Tobias,Stahl,T,
12509807,7,Albrecht,Günther,A,
12509807,8,Reinhard,Schliebs,R,
12509807,9,Milena,Penkowa,M,
12509807,10,Volker,Bigl,V,
12509807,11,Steffen,Rossner,S,
12515826,1,Robert,Ehehalt,R,"Max Planck Institute of Molecular Cell Biology and Genetics, D-01307 Dresden, Germany."
12515826,2,Patrick,Keller,P,
12515826,3,Christian,Haass,C,
12515826,4,Christoph,Thiele,C,
12515826,5,Kai,Simons,K,
12540269,1,Martin,Citron,M,"Amgen, Inc., Department of Neuroscience, M/S 29-2-B, One Amgen Center Drive, Thousand Oaks, CA 91320, USA. mcitron@amgen.com"
12603825,1,Alfredo G,Tomasselli,AG,"Department of Protein Sciences, Pharmacia Corporation, 301 Henrietta Street, Kalamazoo, MI 49007, USA."
12603825,2,Isam,Qahwash,I,
12603825,3,Thomas L,Emmons,TL,
12603825,4,Yifeng,Lu,Y,
12603825,5,Joseph W,Leone,JW,
12603825,6,June M,Lull,JM,
12603825,7,Kam F,Fok,KF,
12603825,8,Carol A,Bannow,CA,
12603825,9,Clark W,Smith,CW,
12603825,10,Michael J,Bienkowski,MJ,
12603825,11,Robert L,Heinrikson,RL,
12603825,12,Riqiang,Yan,R,
12618121,1,Gaetano,Vattemi,G,"USC Neuromuscular Center, Department of Neurology, University of Southern California Keck School of Medicine, Good Samaritan Hospital, Los Angeles 90017-1912, USA."
12618121,2,W King,Engel,WK,
12618121,3,Janis,McFerrin,J,
12618121,4,Lucia,Pastorino,L,
12618121,5,Joseph D,Buxbaum,JD,
12618121,6,Valerie,Askanas,V,
12649271,1,Luigi,Puglielli,L,"Neurobiology of Disease Laboratory, Massachusetts General Hospital, Harvard Medical School, Charlestown 02129, USA. pugliell@helix.mgh.harvard.edu"
12649271,2,Blake C,Ellis,BC,
12649271,3,Aleister J,Saunders,AJ,
12649271,4,Dora M,Kovacs,DM,
12665519,1,Xiao-Ping,Shi,XP,"Department of Biological Chemistry, Merck Research Laboratories, West Point, Pennsylvania 19486, USA. xiao-ping_shi@merck.com"
12665519,2,Katherine,Tugusheva,K,
12665519,3,James E,Bruce,JE,
12665519,4,Adam,Lucka,A,
12665519,5,Guo-Xin,Wu,GX,
12665519,6,Elizabeth,Chen-Dodson,E,
12665519,7,Eric,Price,E,
12665519,8,Yueming,Li,Y,
12665519,9,Min,Xu,M,
12665519,10,Qian,Huang,Q,
12665519,11,Mohinder K,Sardana,MK,
12665519,12,Daria J,Hazuda,DJ,
12707937,1,Gabriel,Gold,G,"Department of Geriatrics, Belle-Idée Hospital Center, University Hospitals of Geneva, Geneva, Switzerland."
12707937,2,Jean-Louis,Blouin,JL,
12707937,3,François R,Herrmann,FR,
12707937,4,Agnès,Michon,A,
12707937,5,Reinhild,Mulligan,R,
12707937,6,Geneviève,Duriaux Saïl,G,
12707937,7,Constantin,Bouras,C,
12707937,8,Panteleimon,Giannakopoulos,P,
12707937,9,Stylianos E,Antonarakis,SE,
12736275,1,David,Andrau,D,"Institut de Pharmacologie Moléculaire et Cellulaire of Centre National de la Recherche Scientifique, UMR6097, 06560 Valbonne, France."
12736275,2,Cecile,Dumanchin-Njock,C,
12736275,3,Erwan,Ayral,E,
12736275,4,Jean,Vizzavona,J,
12736275,5,Mike,Farzan,M,
12736275,6,Michel,Boisbrun,M,
12736275,7,Pierre,Fulcrand,P,
12736275,8,Jean-Francois,Hernandez,JF,
12736275,9,Jean,Martinez,J,
12736275,10,Solveig,Lefranc-Jullien,S,
12736275,11,Frederic,Checler,F,
12801932,1,Guriqbal,Basi,G,"Elan Pharmaceuticals, South San Francisco, California 94080,USA. guriq.basi@elan.cim"
12801932,2,Normand,Frigon,N,
12801932,3,Robin,Barbour,R,
12801932,4,Tam,Doan,T,
12801932,5,Grace,Gordon,G,
12801932,6,Lisa,McConlogue,L,
12801932,7,Sukanto,Sinha,S,
12801932,8,Michelle,Zeller,M,
12815710,1,Christine,Lange-Dohna,C,"Department of Neurochemistry, University of Leipzig, Leipzig, Germany."
12815710,2,Ulrike,Zeitschel,U,
12815710,3,Frank,Gaunitz,F,
12815710,4,J Regino,Perez-Polo,JR,
12815710,5,Volker,Bigl,V,
12815710,6,Steffen,Rossner,S,
12842106,1,Matthew E,Kennedy,ME,"CNS/Cardiovascular Research, Schering Plough Research Institute, Kenilworth, NJ 07033, USA. matthew.kennedy@spcorp.com"
12842106,2,Wenyan,Wang,W,
12842106,3,Lixin,Song,L,
12842106,4,Julie,Lee,J,
12842106,5,Lili,Zhang,L,
12842106,6,Gwen,Wong,G,
12842106,7,Liyang,Wang,L,
12842106,8,Eric,Parker,E,
12857759,1,Ishrut,Hussain,I,"Neurology and Gastrointestinal Centre of Excellence for Drug Discovery, GlaxoSmithKline Research & Development Limited, New Frontiers Science Park, Third Avenue, Harlow, Essex, CM19 5AW, United Kingdom. Ishrut_2_Hussain@gsk.com"
12857759,2,Julie,Hawkins,J,
12857759,3,Aarti,Shikotra,A,
12857759,4,David R,Riddell,DR,
12857759,5,Andrew,Faller,A,
12857759,6,Colin,Dingwall,C,
12901838,1,Sébastien S,Hébert,SS,"Molecular and Human Genetics Unit, CHUQ-Pavillon St-François d'Assise, 10 rue de 1' Espinay, G1L 3L5, Québec, Canada."
12901838,2,Valérie,Bourdages,V,
12901838,3,Chantal,Godin,C,
12901838,4,Mélissa,Ferland,M,
12901838,5,Madeleine,Carreau,M,
12901838,6,Georges,Lévesque,G,
12928915,1,Jordi,Clarimón,J,"Unitat de Biologia Evolutiva, Facultat de Ciències de la Salut i de la Vida, Universitat Pompeu Fabra, Doctor Aiguader 80, 08003 Barcelona, Spain."
12928915,2,Jaume,Bertranpetit,J,
12928915,3,Francesc,Calafell,F,
12928915,4,Mercè,Boada,M,
12928915,5,Lluís,Tàrraga,L,
12928915,6,David,Comas,D,
13678669,1,Yi,Luo,Y,"Amgen Inc., Thousand Oaks, CA, USA."
13678669,2,Brad,Bolon,B,
13678669,3,Michael A,Damore,MA,
13678669,4,Dan,Fitzpatrick,D,
13678669,5,Hantao,Liu,H,
13678669,6,Jianhua,Zhang,J,
13678669,7,Qiao,Yan,Q,
13678669,8,Robert,Vassar,R,
13678669,9,Martin,Citron,M,
14507929,1,Stefan F,Lichtenthaler,SF,"Massachusetts General Hospital Harvard Medical School, Department of Molecular Biology, Boston, Massachusetts 02114, USA. Stefan.Lichtenthaler@pbm.med.uni-muenchen.de"
14507929,2,Diana-Ines,Dominguez,DI,
14507929,3,Gil G,Westmeyer,GG,
14507929,4,Karina,Reiss,K,
14507929,5,Christian,Haass,C,
14507929,6,Paul,Saftig,P,
14507929,7,Bart,De Strooper,B,
14507929,8,Brian,Seed,B,
14530380,1,Zoe,Scholefield,Z,"School of Biosciences, University of Birmingham, Birmingham, UK."
14530380,2,Edwin A,Yates,EA,
14530380,3,Gareth,Wayne,G,
14530380,4,Augustin,Amour,A,
14530380,5,William,McDowell,W,
14530380,6,Jeremy E,Turnbull,JE,
14557249,1,Ming-Sum,Lee,MS,"Department of Pathology, Harvard Medical School and Howard Hughes Medical Institute, 200 Longwood Ave., Boston, MA 02115, USA."
14557249,2,Shih-Chu,Kao,SC,
14557249,3,Cynthia A,Lemere,CA,
14557249,4,Weiming,Xia,W,
14557249,5,Huang-Chun,Tseng,HC,
14557249,6,Ying,Zhou,Y,
14557249,7,Rachael,Neve,R,
14557249,8,Michael K,Ahlijanian,MK,
14557249,9,Li-Huei,Tsai,LH,
14592472,1,So-Young,Jeon,SY,"Division of Applied Biology & Chemistry, College of Agriculture & Life Sciences, Kyungpook National University, 1370 Sankyuk-Dong, Daegu 702-701, South Korea."
14592472,2,KiHwan,Bae,K,
14592472,3,Yeon-Hee,Seong,YH,
14592472,4,Kyung-Sik,Song,KS,
14600149,1,Shih-Chu,Kao,SC,"Department of Pathology, Harvard Medical School and Howard Hughes Medical Institute, Armenise Building, 200 Longwood Avenue, Boston, MA 02115, USA."
14600149,2,Anna M,Krichevsky,AM,
14600149,3,Kenneth S,Kosik,KS,
14600149,4,Li-Huei,Tsai,LH,
14643307,1,Daisuke,Shuto,D,"Department of Medicinal Chemistry, Center for Frontier Research in Medicinal Science, Kyoto Pharmaceutical University, Yamashina-ku, Kyoto 607-8412, Japan."
14643307,2,Soko,Kasai,S,
14643307,3,Tooru,Kimura,T,
14643307,4,Ping,Liu,P,
14643307,5,Koushi,Hidaka,K,
14643307,6,Takashi,Hamada,T,
14643307,7,Saeko,Shibakawa,S,
14643307,8,Yoshio,Hayashi,Y,
14643307,9,Chinatsu,Hattori,C,
14643307,10,Beata,Szabo,B,
14643307,11,Shoichi,Ishiura,S,
14643307,12,Yoshiaki,Kiso,Y,
14645205,1,Joanna L,Jankowsky,JL,"Department of Pathology, The Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA."
14645205,2,Daniel J,Fadale,DJ,
14645205,3,Jeffrey,Anderson,J,
14645205,4,Guilian M,Xu,GM,
14645205,5,Victoria,Gonzales,V,
14645205,6,Nancy A,Jenkins,NA,
14645205,7,Neal G,Copeland,NG,
14645205,8,Michael K,Lee,MK,
14645205,9,Linda H,Younkin,LH,
14645205,10,Steven L,Wagner,SL,
14645205,11,Steven G,Younkin,SG,
14645205,12,David R,Borchelt,DR,
14664815,1,Steve M,Harrison,SM,"Department of Comparative Genomics, GlaxoSmithKline, New Frontiers Science Park (North), Third Avenue, Harlow, Essex CM19 5AW, UK."
14664815,2,Alex J,Harper,AJ,
14664815,3,Julie,Hawkins,J,
14664815,4,Graham,Duddy,G,
14664815,5,Evelyn,Grau,E,
14664815,6,Pippa L,Pugh,PL,
14664815,7,Panida H,Winter,PH,
14664815,8,Claire S,Shilliam,CS,
14664815,9,Zoë A,Hughes,ZA,
14664815,10,Lee A,Dawson,LA,
14664815,11,M Isabel,Gonzalez,MI,
14664815,12,Neil,Upton,N,
14664815,13,Menelas N,Pangalos,MN,
14664815,14,Colin,Dingwall,C,
14681914,1,Jiajun,Shi,J,"Department of Medical Genetics, West China Hospital, Sichuan University, Chengdu, Sichuan, and Division of Human Morbid Genomics, Key Laboratory of Biotherapy of Human Diseases, Ministry of Education, China."
14681914,2,Sizhong,Zhang,S,
14681914,3,Mouni,Tang,M,
14681914,4,Xiehe,Liu,X,
14681914,5,Tao,Li,T,
14681914,6,Yingcheng,Wang,Y,
14681914,7,Haiying,Han,H,
14681914,8,Yangbo,Guo,Y,
14681914,9,Yuantao,Hao,Y,
14681914,10,Keqin,Zheng,K,
14681914,11,Xiangdong,Kong,X,
14681914,12,Zhiguang,Su,Z,
14681914,13,Yu,Tong,Y,
14681914,14,Cui,Ma,C,
14701757,1,Michelle A,Christensen,MA,"Department of Psychiatry, Brain Research Center, The University of British Columbia, Vancouver, British Columbia V6T 1Z3, Canada."
14701757,2,Weihui,Zhou,W,
14701757,3,Hong,Qing,H,
14701757,4,Anna,Lehman,A,
14701757,5,Sjaak,Philipsen,S,
14701757,6,Weihong,Song,W,
14715132,1,Masuo,Ohno,M,"Department of Physiology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA. ohno@northwestern.edu"
14715132,2,Evgeny A,Sametsky,EA,
14715132,3,Linda H,Younkin,LH,
14715132,4,Holly,Oakley,H,
14715132,5,Steven G,Younkin,SG,
14715132,6,Martin,Citron,M,
14715132,7,Robert,Vassar,R,
14715132,8,John F,Disterhoft,JF,
14769400,1,Jin G,Sheng,JG,"Division of Neuropathology and the Alzheimer's Disease Research Center, The Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA."
14769400,2,Donald L,Price,DL,
14769400,3,Vassilis E,Koliatsos,VE,
14973371,1,Shinobu,Kitazume,S,"Glyco-chain Functions Laboratory, Frontier Research System and Laboratory for Proteolytic Neuroscience, Brain Science Institute, RIKEN, 2-1 Hirosawa, Wako-shi, Saitama 351-0198, Japan."
14973371,2,Takaomi C,Saido,TC,
14973371,3,Yasuhiro,Hashimoto,Y,
14981268,1,George W,Rogers,GW,"Department of Neurobiology and The Skaggs Institute for Chemical Biology, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, CA 92037, USA."
14981268,2,Gerald M,Edelman,GM,
14981268,3,Vincent P,Mauro,VP,
14994192,1,In-Hye,Park,IH,"Division of Applied Biology and Chemistry, College of Agriculture and Life Sciences, Kyungpook National University, Daegu, Korea."
14994192,2,So-Young,Jeon,SY,
14994192,3,Hee-Ju,Lee,HJ,
14994192,4,Sang-In,Kim,SI,
14994192,5,Kyung-Sik,Song,KS,
15003250,1,Vinod,Sardana,V,"Department of Structural Biology, Merck Research Laboratories, West Point, PA 19486, USA. vinod_sardana@merck.com"
15003250,2,Bei,Xu,B,
15003250,3,Joan,Zugay-Murphy,J,
15003250,4,Zhongguo,Chen,Z,
15003250,5,Mohinder,Sardana,M,
15003250,6,Paul L,Darke,PL,
15003250,7,Sanjeev,Munshi,S,
15003250,8,Lawrence C,Kuo,LC,
15006396,1,Tooru,Kimura,T,"Department of Medicinal Chemistry, Center for Frontier Research in Medicinal Science, Kyoto Pharmaceutical University, Yamashina-ku, Kyoto 607-8412, Japan."
15006396,2,Daisuke,Shuto,D,
15006396,3,Soko,Kasai,S,
15006396,4,Ping,Liu,P,
15006396,5,Koushi,Hidaka,K,
15006396,6,Takashi,Hamada,T,
15006396,7,Yoshio,Hayashi,Y,
15006396,8,Chinatsu,Hattori,C,
15006396,9,Masashi,Asai,M,
15006396,10,Shinobu,Kitazume,S,
15006396,11,Takaomi C,Saido,TC,
15006396,12,Shoichi,Ishiura,S,
15006396,13,Yoshiaki,Kiso,Y,
15059977,1,Yuan-Wen,Ge,YW,"Department of Psychiatry, Institute of Psychiatric Research, Indiana University School of Medicine, Indianapolis, Indiana, USA."
15059977,2,Bryan,Maloney,B,
15059977,3,Kumar,Sambamurti,K,
15059977,4,Debomoy K,Lahiri,DK,
15120577,1,Yi,Wen,Y,"Department of Pharmacology and Neuroscience, University of North Texas, Health Science Center Fort Worth, 3500 Camp Bowie Blvd., Fort Worth, TX 76107, USA."
15120577,2,Otuonye,Onyewuchi,O,
15120577,3,Shaohua,Yang,S,
15120577,4,Ran,Liu,R,
15120577,5,James W,Simpkins,JW,
15126696,1,Robert,Vassar,R,"The Feinberg School of Medicine, Northwestern University, Department of Cell and Molecular Biology, Chicago, IL 60611, USA. r-vassar@northwestern.edu"
15137040,1,Yu-Sen,Wang,YS,"Schering-Plough Research Institute, 2015 Galloping Hill Road, Kenilworth, New Jersey 07033, USA. allen.yu-sen.wang@spcorp.com"
15137040,2,Dingjiang,Liu,D,
15137040,3,Daniel F,Wyss,DF,
15167888,1,Sven,Lammich,S,"Department of Biochemistry, Laboratory for Alzheimer's and Parkinson's Disease Research, Adolf Butenandt Institute, Ludwig Maximilians University, Schillerstrasse 44, 80336 Munich, Germany."
15167888,2,Susanne,Schöbel,S,
15167888,3,Ann-Katrin,Zimmer,AK,
15167888,4,Stefan F,Lichtenthaler,SF,
15167888,5,Christian,Haass,C,
15211591,1,Thole,Züchner,T,"Paul Flechsig Institute for Brain Research, Department of Neurochemistry, University of Leipzig, Leipzig, Germany."
15211591,2,J Regino,Perez-Polo,JR,
15211591,3,Reinhard,Schliebs,R,
15234966,1,Isam,Qahwash,I,"Cell and Molecular Biology, Protein Sciences, Pharmacia Corporation, Kalamazoo, Michigan 49007, USA."
15234966,2,Wanxia,He,W,
15234966,3,Alfredo,Tomasselli,A,
15234966,4,Rolf F,Kletzien,RF,
15234966,5,Riqiang,Yan,R,
15243867,1,Ishrut,Hussain,I,"GlaxoSmithKline Research & Development Ltd, Neurodegeneration Research Neurology and GI Centre of Excellence for Drug Discovery, New Frontiers Science Park, Third Avenue, Harlow, Essex, CM19 5AW UK. Ishrut_2_Hussain@gsk.com"
15255179,1,Oliver,Middendorp,O,"ESBATech AG, CH-8952 Zürich-Schlieren, Switzerland. middendorp@esbatech.com"
15255179,2,Urs,Lüthi,U,
15255179,3,Felix,Hausch,F,
15255179,4,Alcide,Barberis,A,
15286784,1,Wanxia,He,W,"Department of Neurosciences, Lerner Research Institute, Cleveland Clinic Foundation, Cleveland, Ohio 44195, USA."
15286784,2,Yifeng,Lu,Y,
15286784,3,Isam,Qahwash,I,
15286784,4,Xiang-You,Hu,XY,
15286784,5,Ansi,Chang,A,
15286784,6,Riqiang,Yan,R,
15289451,1,Hong,Qing,H,"Department of Psychiatry, Brain Research Center, The University of British Columbia, Vancouver, Canada."
15289451,2,Weihui,Zhou,W,
15289451,3,Michelle A,Christensen,MA,
15289451,4,Xiulian,Sun,X,
15289451,5,Yigang,Tong,Y,
15289451,6,Weihong,Song,W,
15308312,1,Hongxiao,Jia,H,"Department of Biochemistry, Institute of Mental Health, Peking University, No. 51 Hua Yuan Bai Road, 100083 Beijing, China."
15308312,2,Yong,Jiang,Y,
15308312,3,Yan,Ruan,Y,
15308312,4,Yanbo,Zhang,Y,
15308312,5,Xin,Ma,X,
15308312,6,Jizhi,Zhang,J,
15308312,7,Konrad,Beyreuther,K,
15308312,8,Penfei,Tu,P,
15308312,9,Dai,Zhang,D,
15322084,1,Kulandaivelu S,Vetrivel,KS,"Department of Neurobiology, Pharmacology and Physiology, The University of Chicago, Illinois 60637, USA."
15322084,2,Haipeng,Cheng,H,
15322084,3,William,Lin,W,
15322084,4,Takashi,Sakurai,T,
15322084,5,Tong,Li,T,
15322084,6,Nobuyuki,Nukina,N,
15322084,7,Philip C,Wong,PC,
15322084,8,Huaxi,Xu,H,
15322084,9,Gopal,Thinakaran,G,
15364953,1,Shinobu,Kitazume,S,"Glyco-chain Functions Laboratory, The Institute of Physical and Chemical Research, RIKEN, 2-1 Hirosawa, Wako-shi, Saitama 351-0198, Japan."
15364953,2,Kazuhiro,Nakagawa,K,
15364953,3,Ritsuko,Oka,R,
15364953,4,Yuriko,Tachida,Y,
15364953,5,Kazuko,Ogawa,K,
15364953,6,Yi,Luo,Y,
15364953,7,Martin,Citron,M,
15364953,8,Hiroshi,Shitara,H,
15364953,9,Choji,Taya,C,
15364953,10,Hiromichi,Yonekawa,H,
15364953,11,James C,Paulson,JC,
15364953,12,Eiji,Miyoshi,E,
15364953,13,Naoyuki,Taniguchi,N,
15364953,14,Yasuhiro,Hashimoto,Y,
15452128,1,Matthew J,Chiocco,MJ,"Department of Genetics, Case Western Reserve University and University Hospitals of Cleveland, Cleveland, Ohio 44106, USA."
15452128,2,Laura Shapiro,Kulnane,LS,
15452128,3,Linda,Younkin,L,
15452128,4,Steve,Younkin,S,
15452128,5,Geneviève,Evin,G,
15452128,6,Bruce T,Lamb,BT,
15465276,1,Steffen,Rossner,S,"Department of Neurochemistry, Paul Flechsig Institute for Brain Research, University of Leipzig, Janhnallee 59, 04109 Leipzig, Germany. rossn@medizin.uni-leipzig.de"
15465277,1,Jenny,Apelt,J,"Department of Neurochemistry, University of Leipzig, Paul Flechsig Institute for Brain Research, Jahnallee 59, D-04109 Leipzig, Germany."
15465277,2,Marina,Bigl,M,
15465277,3,Patrick,Wunderlich,P,
15465277,4,Reinhard,Schliebs,R,
15467394,1,Shinobu,Kitazume,S,"Glyco-chain Functions Laboratory, Frontier Research System, RIKEN, 2-1 Hirosawa, Wako-shi, Saitama 351-0198, Japan. shinobuk@riken.jp"
15467394,2,Minoru,Suzuki,M,
15467394,3,Takaomi C,Saido,TC,
15467394,4,Yasuhiro,Hashimoto,Y,
15582441,1,Tooru,Kimura,T,"Department of Medicinal Chemistry, Center for Frontier Research in Medicinal Science, Kyoto Pharmaceutical University, Yamashina-ku, Kyoto 607-8412, Japan."
15582441,2,Daisuke,Shuto,D,
15582441,3,Yoshio,Hamada,Y,
15582441,4,Naoto,Igawa,N,
15582441,5,Soko,Kasai,S,
15582441,6,Ping,Liu,P,
15582441,7,Koushi,Hidaka,K,
15582441,8,Takashi,Hamada,T,
15582441,9,Yoshio,Hayashi,Y,
15582441,10,Yoshiaki,Kiso,Y,
15584902,1,Hsiu-Chiung,Yang,HC,"Lilly Research Laboratories, Eli Lilly and Company, Indianapolis, Indiana 46285, USA. Ginnie_Yang@Lilly.com"
15584902,2,Xiyun,Chai,X,
15584902,3,Marian,Mosior,M,
15584902,4,Wayne,Kohn,W,
15584902,5,Leonard N,Boggs,LN,
15584902,6,Jon A,Erickson,JA,
15584902,7,Don B,McClure,DB,
15584902,8,Wu-Kuang,Yeh,WK,
15584902,9,Lianshen,Zhang,L,
15584902,10,Patricia,Gonzalez-DeWhitt,P,
15584902,11,John P,Mayer,JP,
15584902,12,Jose Alfredo,Martin,JA,
15584902,13,Jingdan,Hu,J,
15584902,14,Shu-Hui,Chen,SH,
15584902,15,Ana Belen,Bueno,AB,
15584902,16,Sheila P,Little,SP,
15584902,17,James R,McCarthy,JR,
15584902,18,Patrick C,May,PC,
15606899,1,Louise,Wickham,L,"Laboratory of Biochemical Neuroendocrinology, Clinical Research Institute of Montreal, Montreal, Quebec, Canada."
15606899,2,Suzanne,Benjannet,S,
15606899,3,Edwige,Marcinkiewicz,E,
15606899,4,Michel,Chretien,M,
15606899,5,Nabil G,Seidah,NG,
15614428,1,Y,Tong,Y,"Department of Psychiatry, Brain Research Center, The University of British Columbia, Vancouver, BC, Canada."
15614428,2,W,Zhou,W,
15614428,3,V,Fung,V,
15614428,4,M A,Christensen,MA,
15614428,5,H,Qing,H,
15614428,6,X,Sun,X,
15614428,7,Weihong,Song,W,
15659814,1,Emanuela,Repetto,E,"Farmacologia e Neuroscienze, Department of Oncology, Biology and Genetics, Università di Genova, Italy."
15659814,2,Claudio,Russo,C,
15659814,3,Valentina,Venezia,V,
15659814,4,Mario,Nizzari,M,
15659814,5,Roger M,Nitsch,RM,
15659814,6,Gennaro,Schettini,G,
15663471,1,Steffen,Rossner,S,"Paul Flechsig Institute for Brain Research, Department of Neurochemistry, University of Leipzig, Leipzig, Germany. rossn@medizin.uni-leipzig.de"
15663471,2,Christine,Lange-Dohna,C,
15663471,3,Ulrike,Zeitschel,U,
15663471,4,J Regino,Perez-Polo,JR,
15671026,1,Jun,Xie,J,"Department of Physiology, University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma 73104, USA."
15671026,2,Qing,Guo,Q,
15681800,1,Weihui,Zhou,W,"Department of Psychiatry, Brain Research Center, University of British Columbia, Vancouver, Canada. weihong@interchange.ubc.ca"
15681800,2,Hong,Qing,H,
15681800,3,Yigang,Tong,Y,
15681800,4,Weihong,Song,W,
15688088,1,Takashi,Morihara,T,"Greater Los Angeles VA Healthcare System, GRECC, Sepulveda, CA, USA."
15688088,2,Bruce,Teter,B,
15688088,3,Fusheng,Yang,F,
15688088,4,Giselle P,Lim,GP,
15688088,5,Sally,Boudinot,S,
15688088,6,F Douglas,Boudinot,FD,
15688088,7,Sally A,Frautschy,SA,
15688088,8,Greg M,Cole,GM,
15709474,1,Robert,Vassar,R,"Department of Cell and Molecular Biology, The Feinberg School of Medicine, Northwestern University, Chicago, IL, USA."
15722349,1,Barbara,Angeletti,B,"Neurology & Gastrointestinal Centre of Excellence for Drug Discovery, GlaxoSmithKline, New Frontiers Science Park, Harlow, Essex CM19 5AW, United Kingdom."
15722349,2,Kevin J,Waldron,KJ,
